origin,orig_region,destination,dest_region,"1990","1995","2000","2005","2010","2015","2020",1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2,dest_subregion,orig_subregion
Ecuador,Latin America and the Caribbean,Bolivia,Latin America and the Caribbean,299,521,738,800,861,1003,1115,138,251,362,419,476,554,615,161,270,376,381,385,449,500,South America,South America
Ecuador,Latin America and the Caribbean,Puerto Rico,Latin America and the Caribbean,573,675,780,949,999,851,348,271,320,370,449,468,397,162,302,355,410,500,531,454,186,Caribbean,South America
Ecuador,Latin America and the Caribbean,Bahamas,Latin America and the Caribbean,10,12,15,28,40,43,44,3,3,5,16,26,28,30,7,9,10,12,14,15,14,Caribbean,South America
Ecuador,Latin America and the Caribbean,Guatemala,Latin America and the Caribbean,120,113,105,125,145,160,178,46,50,54,68,82,92,103,74,63,51,57,63,68,75,Central America,South America
Ecuador,Latin America and the Caribbean,Nicaragua,Latin America and the Caribbean,98,78,86,97,103,111,115,55,43,50,58,62,67,70,43,35,36,39,41,44,45,Central America,South America
Ecuador,Latin America and the Caribbean,El Salvador,Latin America and the Caribbean,155,126,97,108,118,123,124,70,57,44,50,56,58,59,85,69,53,58,62,65,65,Central America,South America
Ecuador,Latin America and the Caribbean,Honduras,Latin America and the Caribbean,348,345,342,335,328,461,470,239,233,228,224,221,312,319,109,112,114,111,107,149,151,Central America,South America
Ecuador,Latin America and the Caribbean,Cuba,Latin America and the Caribbean,135,102,58,60,58,53,47,67,48,25,26,24,22,19,68,54,33,34,34,31,28,Caribbean,South America
Argentina,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,2359,2471,2582,2540,3386,4464,5719,1284,1359,1434,1425,1955,2651,3450,1075,1112,1148,1115,1431,1813,2269,South America,South America
Argentina,Latin America and the Caribbean,Peru,Latin America and the Caribbean,7080,7087,8282,9729,11961,14386,26854,3502,3463,4050,4808,6111,7795,14769,3578,3624,4232,4921,5850,6591,12085,South America,South America
Argentina,Latin America and the Caribbean,Venezuela,Latin America and the Caribbean,9483,9138,8724,9078,9542,9944,9374,4969,4809,4605,4778,5012,5158,4791,4514,4329,4119,4300,4530,4786,4583,South America,South America
Argentina,Latin America and the Caribbean,Chile,Latin America and the Caribbean,32696,39251,45770,50740,55685,56363,79253,16212,19651,22791,25600,28401,29777,39468,16484,19600,22979,25140,27284,26586,39785,South America,South America
Argentina,Latin America and the Caribbean,Dominican Republic,Latin America and the Caribbean,2642,2935,3227,2126,1020,1071,1116,1546,1687,1828,1201,572,600,625,1096,1248,1399,925,448,471,491,Caribbean,South America
Argentina,Latin America and the Caribbean,Ecuador,Latin America and the Caribbean,1669,1954,2239,2679,4266,5399,5645,964,1140,1316,1598,2500,3149,3560,705,814,923,1081,1766,2250,2085,South America,South America
Argentina,Latin America and the Caribbean,Costa Rica,Latin America and the Caribbean,1041,864,1120,735,1448,1468,1761,513,431,547,354,700,705,892,528,433,573,381,748,763,869,Central America,South America
